Index,Red,Green,Blue
0,0,0,0
1,254,1,1
2,253,2,2
3,252,3,3
4,251,4,4
5,250,5,5
6,249,6,6
7,248,7,7
8,247,8,8
9,246,9,9
10,245,10,10
11,244,11,11
12,243,12,12
13,242,13,13
14,241,14,14
15,240,15,15
16,239,16,16
17,238,17,17
18,237,18,18
19,236,19,19
20,235,20,20
21,234,21,21
22,233,22,22
23,232,23,23
24,231,24,24
25,230,25,25
26,229,26,26
27,228,27,27
28,227,28,28
29,226,29,29
30,225,30,30
31,224,31,31
32,223,32,32
33,222,33,33
34,221,34,34
35,220,35,35
36,219,36,36
37,218,37,37
38,217,38,38
39,216,39,39
40,215,40,40
41,214,41,41
42,213,42,42
43,212,43,43
44,211,44,44
45,210,45,45
46,209,46,46
47,208,47,47
48,207,48,48
49,206,49,49
50,205,50,50
51,204,51,51
52,203,52,52
53,202,53,53
54,201,54,54
55,200,55,55
56,199,56,56
57,198,57,57
58,197,58,58
59,196,59,59
60,195,60,60
61,194,61,61
62,193,62,62
63,192,63,63
64,191,64,64
65,190,65,65
66,189,66,66
67,188,67,67
68,187,68,68
69,186,69,69
70,185,70,70
71,184,71,71
72,183,72,72
73,182,73,73
74,181,74,74
75,180,75,75
76,179,76,76
77,178,77,77
78,177,78,78
79,176,79,79
80,175,80,80
81,174,81,81
82,173,82,82
83,172,83,83
84,171,84,84
85,170,85,85
86,169,86,86
87,168,87,87
88,167,88,88
89,166,89,89
90,165,90,90
91,164,91,91
92,163,92,92
93,162,93,93
94,161,94,94
95,160,95,95
96,159,96,96
97,158,97,97
98,157,98,98
99,156,99,99
100,155,100,100
101,154,101,101
102,153,102,102
103,152,103,103
104,151,104,104
105,150,105,105
106,149,106,106
107,148,107,107
108,147,108,108
109,146,109,109
110,145,110,110
111,144,111,111
112,143,112,112
113,142,113,113
114,141,114,114
115,140,115,115
116,139,116,116
117,138,117,117
118,137,118,118
119,136,119,119
120,135,120,120
121,134,121,121
122,133,122,122
123,132,123,123
124,131,124,124
125,130,125,125
126,129,126,126
127,128,127,127
128,127,128,128
129,126,129,126
130,125,130,125
131,124,131,124
132,123,132,123
133,122,133,122
134,121,134,121
135,120,135,120
136,119,136,119
137,118,137,118
138,117,138,117
139,116,139,116
140,115,140,115
141,114,141,114
142,113,142,113
143,112,143,112
144,111,144,111
145,110,145,110
146,109,146,109
147,108,147,108
148,107,148,107
149,106,149,106
150,105,150,105
151,104,151,104
152,103,152,103
153,102,153,102
154,101,154,101
155,100,155,100
156,99,156,99
157,98,157,98
158,97,158,97
159,96,159,96
160,95,160,95
161,94,161,94
162,93,162,93
163,92,163,92
164,91,164,91
165,90,165,90
166,89,166,89
167,88,167,88
168,87,168,87
169,86,169,86
170,85,170,85
171,84,171,84
172,83,172,83
173,82,173,82
174,81,174,81
175,80,175,80
176,79,176,79
177,78,177,78
178,77,178,77
179,76,179,76
180,75,180,75
181,74,181,74
182,73,182,73
183,72,183,72
184,71,184,71
185,70,185,70
186,69,186,69
187,68,187,68
188,67,188,67
189,66,189,66
190,65,190,65
191,64,191,64
192,63,192,63
193,62,193,62
194,61,194,61
195,60,195,60
196,59,196,59
197,58,197,58
198,57,198,57
199,56,199,56
200,55,200,55
201,54,201,54
202,53,202,53
203,52,203,52
204,51,204,51
205,50,205,50
206,49,206,49
207,48,207,48
208,47,208,47
209,46,209,46
210,45,210,45
211,44,211,44
212,43,212,43
213,42,213,42
214,41,214,41
215,40,215,40
216,39,216,39
217,38,217,38
218,37,218,37
219,36,219,36
220,35,220,35
221,34,221,34
222,33,222,33
223,32,223,32
224,31,224,31
225,30,225,30
226,29,226,29
227,28,227,28
228,27,228,27
229,26,229,26
230,25,230,25
231,24,231,24
232,23,232,23
233,22,233,22
234,21,234,21
235,20,235,20
236,19,236,19
237,18,237,18
238,17,238,17
239,16,239,16
240,15,240,15
241,14,241,14
242,13,242,13
243,12,243,12
244,11,244,11
245,10,245,10
246,9,246,9
247,8,247,8
248,7,248,7
249,6,249,6
250,5,250,5
251,4,251,4
252,3,252,3
253,2,253,2
254,1,254,1
255,0,0,0
