,number,values_0,values_1,values_2,params_len1,params_len2
0,9,-1304.0,-0.35931065436972437,-0.001401893456097314,8,17
1,2,-1424.0,-0.3824528749861131,-0.0015368847336449942,9,20
2,7,-1424.0,-0.3824528749861131,-0.0015368847336449942,9,20
3,3,-1484.0,-0.39622957336853154,-0.0016068682368045595,8,20
4,0,-1555.0,-0.33272862033282546,-0.0017077540834119498,6,15
5,5,-1588.0,-0.4139786094546222,-0.0016878632830740203,7,19
6,1,-1697.0,-0.3700710067283523,-0.0018168165015333138,7,15
7,4,-1853.0,-0.46410692728656744,-0.0019568141026602426,5,12
8,6,-1945.0,-0.47576156072044995,-0.002050801072295938,7,11
9,8,-2746.0,-0.6341273585352142,-0.0028686815763450113,10,11
