,number,values_0,values_1,values_2,params_len1,params_len2
0,14,-1968.0,-0.5203571345491383,-0.0021776777036998096,9,18
1,86,-1968.0,-0.5203571345491383,-0.0021776777036998096,9,18
2,97,-1968.0,-0.5203571345491383,-0.0021776777036998096,9,18
3,16,-2154.0,-0.45069472346351547,-0.0024656794616699784,8,16
4,56,-2154.0,-0.45069472346351547,-0.0024656794616699784,8,16
5,50,-2266.0,-0.6252843040120237,-0.0025353965756149677,10,15
6,3,-2270.0,-0.5911909947123258,-0.002519662365243036,10,20
7,46,-2270.0,-0.5911909947123258,-0.002519662365243036,10,20
8,52,-2270.0,-0.5911909947123258,-0.002519662365243036,10,20
9,71,-2270.0,-0.5911909947123258,-0.002519662365243036,10,20
10,5,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
11,13,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
12,31,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
13,54,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
14,59,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
15,63,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
16,66,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
17,70,-2404.0,-0.6949695821872727,-0.002647486387640785,10,14
18,26,-2422.0,-0.6973060943830282,-0.0025796594849479826,10,17
19,67,-2422.0,-0.6973060943830282,-0.0025796594849479826,10,17
20,69,-2422.0,-0.6973060943830282,-0.0025796594849479826,10,17
21,22,-2578.0,-0.7857416702829434,-0.002755630745480131,8,18
22,34,-2578.0,-0.7857416702829434,-0.002755630745480131,8,18
23,68,-2578.0,-0.7857416702829434,-0.002755630745480131,8,18
24,90,-2578.0,-0.7857416702829434,-0.002755630745480131,8,18
25,1,-2600.0,-0.7119797616089247,-0.0028854229154169353,10,16
26,30,-2606.0,-0.7951239731532173,-0.002735715485589485,8,17
27,39,-2606.0,-0.7951239731532173,-0.002735715485589485,8,17
28,20,-2612.0,-0.794213419457502,-0.0027595915804461413,5,20
29,78,-2612.0,-0.794213419457502,-0.0027595915804461413,5,20
30,0,-2634.0,-0.6525273360637882,-0.0028136060951466924,8,14
31,57,-2634.0,-0.6525273360637882,-0.0028136060951466924,8,14
32,60,-2634.0,-0.6525273360637882,-0.0028136060951466924,8,14
33,99,-2634.0,-0.6525273360637882,-0.0028136060951466924,8,14
34,18,-2730.0,-0.6879792051631496,-0.0029595442301885155,9,15
35,96,-2730.0,-0.6879792051631496,-0.0029595442301885155,9,15
36,29,-2778.0,-0.6234328540457673,-0.003067331321771838,6,12
37,73,-2778.0,-0.6234328540457673,-0.003067331321771838,6,12
38,12,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
39,17,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
40,27,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
41,53,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
42,64,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
43,91,-2794.0,-0.6807006813251122,-0.0029555212055647484,5,15
44,2,-2804.0,-0.8192777683229626,-0.0029557694499828813,9,19
45,81,-2830.0,-0.8874791052686037,-0.002953633749415041,6,17
46,38,-2846.0,-0.8455793077542104,-0.002985725313271126,9,20
47,89,-2846.0,-0.8455793077542104,-0.002985725313271126,9,20
