latin_name,german_name,species_key
abies alba,weißtanne,2685484
acer campestre,feld-ahorn,3189863
acer negundo,eschen-ahorn,3189866
acer platanoides,spitz-ahorn,3189846
acer pseudoplatanus,berg-ahorn,3189870
aesculus hippocastanum,ross-kastanie,3189815
ailanthus altissima,götterbaum,3190653
alnus glutinosa,schwarz-erle,2876213
betula aurata,bastard-birke,5331763
betula carpatica,karpaten-birke,9118014
betula pendula,hänge-birke,5331916
betula pubescens,moor-birke,9118014
carpinus betulus,hainbuche,2875818
clematis vitalba,gewöhnliche waldrebe,3033558
crataegus laevigata,zweigriffliger weißdorn,8252683
crataegus monogyna,eingriffliger weißdorn,9220780
crataegus rhipidophylla,weißdorn,9047268
cornus mas,kornelkirsche,3082263
cornus sanguinea,roter hartriegel,3082234
corylus avellana,gemeine hasel,2875979
cotoneaster integerrimus,gewöhnliche zwergmispel,3025576
cytisus scoparius,besenginster,5354656
daphne mezereum,echter seidelbast,5420852
euonymus europaeus,europäisches pfaffenhütchen,3169131
fagus sylvatica,rotbuche,2882316
frangula alnus,echter faulbaum,3039454
fraxinus excelsior,gemeine esche,3172358
juglans regia,echte walnuss,3054368
larix decidua,europäische lärche,2686212
rhododendron tomentosum,sumpfporst,6400569
ligustrum vulgare,gewöhnlicher liguster,3172300
lonicera periclymenum,waldgeißblatt,5334277
lonicera xylosteum,rote heckenkirsche,5334259
malus sylvestris,wild-apfel,3001509
picea abies,gewöhnliche fichte,5284884
picea pungens,blaufichte,5284871
pinus nigra,schwarzkiefer,5284809
pinus strobus,weymouth-kiefer,5284982
pinus rotundata,moorspirke,5285385
pinus sylvestris,gewöhnliche kiefer,5285637
populus nigra,schwarz-pappel,3040227
populus tremula,zitter-pappel,3040249
populus canadensis,kanadische pappel,8190077
prunus avium,vogel-kirsche,3020791
prunus padus,gewöhnliche trauben-kirsche,3021037
prunus serotina,spätblühende trauben-kirsche,3021850
prunus spinosa,gewöhnliche schlehe,3023221
pseudotsuga menziesii,douglasie,2685796
pyrus pyraster,wildbirne,5362445
quercus petraea,trauben-eiche,2880130
quercus pubescens,flaum-eiche,2881283
quercus robur,stiel-eiche,2878688
quercus rubra,rot-eiche,2880539
ribes alpinum,alpen-johannisbeere,2986184
ribes uva-crispa,stachelbeere,2986185
robinia pseudoacacia,gewöhnliche robinie,5352251
rosa canina,hundsrose,3002461
salix alba,silber-weide,5372513
salix fragilis,bruch-weide,5372829
salix pentandra,lorbeer-weide,5372647
salix purpurea,purpur-weide,5372800
salix triandra,mandel-weide,7103891
salix viminalis,korb-weide,5372933
salix rubens,fahl-weide,5372512
sambucus nigra,schwarzer holunder,2888728
sambucus racemosa,roter holunder,2888723
sorbus aria,mehlbeere,
sorbus aucuparia,eberesche,3012167
sorbus domestica,speierling,3013215
sorbus torminalis,elsbeere,9410160
taxus baccata,gewöhnliche eibe,5284517
tilia cordata,winter-linde,3152047
tilia platyphyllos,sommer-linde,3152048
ulmus glabra,berg-ulme,5361866
ulmus laevis,flatter-ulme,7303616
ulmus minor,feld-ulme,5361865
viburnum lantana,wolliger schneeball,2888615
viburnum opulus,gewöhnlicher schneeball,2888605
gebietsfremde arten,,
buddleja davidii,schmetterlingsstrauch,3173338
cotoneaster dammeri,teppich-zwergmispel,3026049
cotoneaster divaricatus,sparrige zwergmispel,3026334
cotoneaster horizontalis,fächer-zwergmispel,3025617
elaeagnus angustifolia,schmalblättrige ölweide,3039269
fraxinus pennsylvanica,pennsylvanische esche,3172348
gleditsia triacanthos,amerikanische gleditschie,2959443
lonicera henryi,henrys geißblatt,5598598
lonicera tatarica,tataren-heckenkirsche,5334242
lycium barbarum,gewöhnlicher bocksdorn,2928835
mahonia aquifolium,gewöhnliche mahonie,3033865
paulownia tomentosa,chinesischer blauglockenbaum,3170823
prunus laurocerasus,lorbeerkirsche,3021496
rhododendron ponticum,pontischer rhododendron,7327990
rhus typhina,essig-baum,3190538
rosa rugosa,kartoffel-rose,3003979
symphoricarpos albus,gewöhnliche schneebeere,8012439
syringa vulgaris,gewöhnlicher flieder,5415039
